Month,Max Temp (°F),Min Temp (°F),Mean Temp (°F),Precipitation (in),Heating Degree Days,Cooling Degree Days
"20240301March, 2024",40.7,28.6,52.7,2.44,741,1
"20240201February, 2024",37.1,24.6,49.5,0.21,779,1
"20240101January, 2024",20.1,14.2,25.9,1.82,"1,378",
"20231201December, 2023",34.5,26.6,42.4,1.83,937,
"20231101November, 2023",38.8,26.9,50.7,0.31,785,
"20231001October, 2023",53.4,42.6,64.1,3.22,365,10
"20230901September, 2023",67.2,54.8,79.6,2.13,55,122
"20230801August, 2023",72.5,61.5,83.5,3.05,15,247
"20230701July, 2023",72,60.8,83.2,3.08,15,236
"20230601June, 2023",71.3,58.8,83.8,2.8,22,204
"20230501May, 2023",62.8,49.9,75.7,2.67,156,85
"20230401April, 2023",49.4,36.4,62.3,2.12,465,
"20230301March, 2023",34,24.8,43.1,1.46,942,
"20230201February, 2023",26.2,15.6,36.7,2.26,"1,070",
"20230101January, 2023",24.2,17.2,31.2,1.92,"1,246",
"20221201December, 2022",21.3,13.2,29.4,1.69,"1,335",
"20221101November, 2022",37.1,26.4,47.8,2.04,825,
"20221001October, 2022",50.4,36.3,64.6,0.92,457,3
"20220901September, 2022",65.1,52.9,77.4,1.9,85,87
"20220801August, 2022",72,60.9,83.2,3.49,18,234
"20220701July, 2022",74.2,63.5,85,3.23,8,292
"20220601June, 2022",71.6,60,83.3,3.53,19,217
"20220501May, 2022",61.4,50.5,72.2,3.59,175,71
"20220401April, 2022",43.8,32.8,54.9,3.22,634,
"20220301March, 2022",37.1,26.6,47.6,2.65,862,
"20220201February, 2022",21.3,9.4,33.3,0.28,"1,224",
"20220101January, 2022",14.9,3.4,26.3,0.78,"1,569",
"20211201December, 2021",31.9,21.9,41.9,0.87,"1,019",
"20211101November, 2021",39.1,28.7,49.5,0.98,778,
"20211001October, 2021",55.5,45.3,65.7,5,304,17
"20210901September, 2021",66.6,53.7,79.6,1.81,62,115
"20210801August, 2021",72.9,61.6,84.1,4.65,13,260
"20210701July, 2021",73.3,63,83.7,4.01,10,269
"20210601June, 2021",73.5,61.3,85.7,3.35,11,266
"20210501May, 2021",59,48.6,69.3,3.86,228,42
"20210401April, 2021",49.3,37.8,60.7,1.51,463,
"20210301March, 2021",42.3,32.1,52.5,2.79,712,5
"20210201February, 2021",12.4,4.4,20.5,0.79,"1,472",
"20210101January, 2021",23.9,16.7,31.1,1.24,"1,286",
"20201201December, 2020",27.2,17.7,36.7,1.14,"1,172",
"20201101November, 2020",42,30.5,53.5,2.09,683,
"20201001October, 2020",46,35.3,56.6,1.9,580,
"20200901September, 2020",61.9,50.6,73.2,4.07,137,46
"20200801August, 2020",71.9,59.8,84.1,1.23,18,230
"20200701July, 2020",75.3,64.8,85.9,2.93,3,328
"20200601June, 2020",72.9,62.1,83.7,4.95,15,242
"20200501May, 2020",57.6,47.9,67.3,4.57,261,32
"20200401April, 2020",46.7,34.3,59,1.65,548,
"20200301March, 2020",40.3,31.1,49.5,2.91,762,1
"20200201February, 2020",24.9,15.5,34.3,0.43,"1,120",
"20200101January, 2020",23.1,15.8,30.4,1.41,"1,287",
"20191201December, 2019",29.2,20.2,38.1,1.28,"1,091",
"20191101November, 2019",32.4,23.7,41.1,1.49,981,
"20191001October, 2019",47.1,37,57.2,4.78,549,
"20190901September, 2019",68.2,58.4,78,6.21,45,141
"20190801August, 2019",69.6,59.2,79.9,3.53,34,175
"20190701July, 2019",75.1,65,85.2,3.38,4,325
"20190601June, 2019",69.3,58.9,79.7,3.91,36,162
"20190501May, 2019",56.6,46.6,66.7,8.21,279,27
"20190401April, 2019",49.2,37.6,60.8,3.03,474,
"20190301March, 2019",31.1,22.2,40,2.19,"1,043",
"20190201February, 2019",15.3,6.2,24.5,2.34,"1,373",
"20190101January, 2019",18.7,10.3,27,1.28,"1,442",
"20181201December, 2018",28,20.5,35.5,2.1,"1,133",
"20181101November, 2018",30,22.2,37.8,1.81,"1,041",
"20181001October, 2018",48.2,38.1,58.3,4.63,511,
"20180901September, 2018",65.9,55.9,75.9,8.1,72,101
"20180801August, 2018",71.8,61.2,82.3,6.42,19,232
"20180701July, 2018",73.1,62.4,83.8,3.39,11,261
"20180601June, 2018",73.1,63.1,83.1,7.55,13,255
"20180501May, 2018",67,55.3,78.7,4.7,86,154
"20180401April, 2018",39.3,28,50.6,1.54,766,
"20180301March, 2018",35.2,26.8,43.6,2.28,925,
"20180201February, 2018",20.5,11.2,29.8,1.54,"1,232",
"20180101January, 2018",17.8,8.7,27,1.02,"1,454",
"20171201December, 2017",24.4,15.1,33.7,0.39,"1,258",
"20171101November, 2017",36.2,26,46.4,0.41,860,
"20171001October, 2017",53.3,43.2,63.4,5.26,362,10
"20170901September, 2017",66.7,54.3,79.1,2.31,62,113
"20170801August, 2017",67.8,56.8,78.8,3.83,53,138
"20170701July, 2017",74.7,63.6,85.8,2.94,7,301
"20170601June, 2017",71.1,58.6,83.6,3.5,22,205
"20170501May, 2017",58.5,47.2,69.8,4.8,239,39
"20170401April, 2017",51.1,40.9,61.3,3.8,414,1
"20170301March, 2017",37.5,28.3,46.8,2.57,850,
"20170201February, 2017",34.5,24,45,0.99,847,
"20170101January, 2017",24.2,17.9,30.5,1.56,"1,256",
"20161201December, 2016",22.9,15.3,30.4,1.52,"1,298",
"20161101November, 2016",45.1,34.2,56,1.39,594,
"20161001October, 2016",55.3,44.2,66.3,2.01,309,17
"20160901September, 2016",67.3,56.8,77.8,6.12,53,128
"20160801August, 2016",72,62.2,81.9,6.14,17,241
"20160701July, 2016",72.8,63.1,82.6,5.92,11,255
"20160601June, 2016",73,61.2,84.8,3.7,14,248
"20160501May, 2016",59.5,48.1,70.9,4.36,216,47
"20160401April, 2016",50.1,39.3,61,3.19,450,1
"20160301March, 2016",42.4,32,52.8,2.28,707,5
"20160201February, 2016",28.6,21.1,36,0.88,"1,020",
"20160101January, 2016",19.6,12.4,26.7,0.59,"1,403",
"20151201December, 2015",33,26.6,39.5,4.71,966,
"20151101November, 2015",42,32.8,51.3,4.08,687,
"20151001October, 2015",53,41.7,64.4,1.76,381,9
"20150901September, 2015",68.4,57.5,79.3,4.18,40,146
"20150801August, 2015",68.9,58.6,79.1,5.29,40,160
"20150701July, 2015",72,62,82,5.51,15,228
"20150601June, 2015",69.4,59.4,79.3,6.38,36,163
"20150501May, 2015",60,49.8,70,5.06,201,55
"20150401April, 2015",51.1,38.7,63.5,3.37,423,2
"20150301March, 2015",37.3,24.6,50,0.56,875,
"20150201February, 2015",14.5,4.7,24.3,1.11,"1,430",
"20150101January, 2015",21.6,12.5,30.7,0.52,"1,351",
"20141201December, 2014",28.2,22.3,34.1,1.1,"1,132",
"20141101November, 2014",29.3,19.7,38.8,0.76,"1,068",
"20141001October, 2014",51.2,39.9,62.4,3.17,441,4
"20140901September, 2014",62,50.9,73.1,4.35,136,46
"20140801August, 2014",71.2,62,80.3,5.92,21,215
"20140701July, 2014",68.8,58.5,79.2,3.3,37,153
"20140601June, 2014",70.2,60.2,80.2,9.66,27,186
"20140501May, 2014",60,48.4,71.5,3.04,206,52
"20140401April, 2014",47.5,35.2,59.7,4.65,526,
"20140301March, 2014",29.7,19.3,40.1,0.81,"1,100",
"20140201February, 2014",13.2,3.2,23.2,1.5,"1,463",
"20140101January, 2014",14.2,2.8,25.6,0.43,"1,588",
"20131201December, 2013",17.4,8.1,26.8,0.62,"1,473",
"20131101November, 2013",33.9,23.9,43.8,1.59,931,
"20131001October, 2013",50.5,39.3,61.8,2.78,446,4
"20130901September, 2013",67,54.5,79.5,1.94,58,117
"20130801August, 2013",71.9,60.4,83.4,1.49,18,233
"20130701July, 2013",72.3,61.2,83.4,1.74,14,238
"20130601June, 2013",68.9,59.4,78.5,4.89,38,159
"20130501May, 2013",59,48.5,69.4,8.65,220,47
"20130401April, 2013",43.8,33.1,54.5,6.43,621,
"20130301March, 2013",29,20.8,37.3,2.09,"1,120",
"20130201February, 2013",24.2,15.8,32.6,1.27,"1,142",
"20130101January, 2013",22,12.2,31.8,0.95,"1,327",
"20121201December, 2012",27.7,18.7,36.6,1.53,"1,144",
"20121101November, 2012",39.2,28.1,50.1,1.05,775,
"20121001October, 2012",48.8,37,60.5,2.98,500,1
